Source,Target,Weight
BitTorrent,Minefield,8
Aternos,Mac-Torrents,25
IGF,LinkedIn,819
LinkedIn,MySpace,18183896
CheapAssGamer,HeroesOfNewerth,16248
17Media,GamerzPlanet,2246
Aternos,VBulletin,208
Hemmakvall,WildStar,364
Insanelyi,VBulletin,1442
LinkedIn,NetEase,1004068
BitTorrent,QatarNationalBank,3
BlackHatWorld,Yahoo,9514
Boxee,WarInc,304
BTSec,Interpals,15416
MySpace,Vodafone,9628
MangaTraders,Taobao,343
Hemmelig,Interpals,51
Neteller,PS3Hax,2983
DDO,HackForums,2402
Hemmelig,Onverse,38
Interpals,StarNet,106
TRAI,XSplit,31
BTSec,Tesco,10
Lookbook,ServerPact,32
PSX-Scene,VBulletin,6855
BTSec,Minefield,816
COMELEC,GameTuts,60
Taobao,iMesh,13463
